,Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10,cluster
511,5,2,5,10,10,5,11,31,11,8,1
512,1,2,1,1,17,19,19,19,21,1,2
513,7,2,1,1,0,0,0,27,28,35,0
514,0,2,10,15,15,15,15,15,15,0,1
515,1,2,3,3,5,5,14,12,30,25,0
516,1,2,10,12,13,14,15,16,17,1,2
517,0,2,3,1,16,22,0,1,32,24,0
518,0,2,0,0,16,19,5,25,28,5,2
519,1,2,2,4,6,9,13,17,21,26,3
520,1,2,2,3,12,17,3,12,22,27,0
521,1,2,4,4,10,20,20,20,20,0,2
522,1,2,2,2,2,22,26,33,5,5,1
523,0,2,0,15,15,15,25,29,0,0,1
524,0,2,0,0,16,6,19,25,0,32,3
525,0,2,0,0,16,19,0,29,34,0,2
526,2,2,2,22,2,22,22,22,2,2,1
527,3,2,1,1,1,1,1,26,30,35,0
528,1,2,1,1,19,17,16,31,5,7,1
529,1,2,2,1,1,11,11,11,26,35,0
530,1,2,9,13,17,21,26,1,8,3,1
531,1,2,1,1,16,16,16,16,16,16,3
532,4,2,11,15,19,23,26,0,0,0,1
533,0,2,1,15,18,2,2,3,31,27,0
534,1,2,3,0,22,6,27,31,4,4,1
535,1,2,2,4,4,8,8,8,32,32,0
536,1,2,11,11,12,14,15,16,17,1,2
537,1,2,3,3,3,14,18,17,20,20,3
538,0,2,2,2,2,4,23,23,22,21,3
539,4,2,6,7,21,26,31,1,1,1,1
540,7,2,0,0,0,0,0,34,31,25,0
541,10,2,0,0,0,0,0,29,29,29,0
542,0,2,7,8,10,18,21,3,26,4,2
543,0,2,0,0,18,22,25,0,0,33,3
544,1,2,2,2,17,17,17,4,1,38,3
545,0,2,0,20,0,0,0,0,39,39,0
546,0,2,6,8,11,14,22,23,12,0,1
547,3,2,6,8,0,12,14,15,18,21,3
548,0,2,6,9,12,15,18,0,18,18,3
549,0,2,0,0,0,15,17,0,32,34,0
550,0,2,0,0,15,20,2,2,26,33,0
551,5,2,0,0,0,0,0,31,30,31,0
552,1,2,5,10,16,26,20,11,4,4,1
553,0,2,3,3,16,20,22,26,4,4,1
554,1,2,3,7,9,17,18,18,19,5,2
555,0,2,25,0,25,0,25,25,0,0,1
556,0,2,0,0,0,10,15,20,25,29,0
557,2,2,4,6,10,13,14,19,15,14,3
558,0,2,3,1,12,12,12,12,12,34,3
559,2,2,7,10,13,17,8,10,8,23,3
560,0,2,0,0,22,22,22,31,0,0,1
561,0,2,3,20,3,0,21,24,0,28,3
562,0,2,0,0,17,21,0,25,35,0,2
563,1,2,0,4,15,0,21,16,9,31,3
564,1,2,4,0,3,20,26,6,33,5,2
565,1,2,9,7,3,9,7,26,20,15,3
566,1,2,4,7,19,11,24,17,3,12,1
567,1,2,6,1,1,18,3,2,33,33,0
568,1,2,4,12,20,20,20,20,1,1,1
